Compound_CID,Name,SMILES
171394553,N-(2-Chloro-5-(3-hydroxyprop-1-yn-1-yl)pyrimidin-4-yl)-N-cyclopentylnitrous Amide,C1CCC(C1)N(C2=NC(=NC=C2C#CCO)Cl)N=O
170900294,"N-(2-((3,5-dimethoxyphenyl)(3-(1-methyl-1H-pyrazol-4-yl)quinoxalin-6-yl)amino)ethyl)-N-isopropylnitrous amide",CC(C)N(CCN(C1=CC2=NC(=CN=C2C=C1)C3=CN(N=C3)C)C4=CC(=CC(=C4)OC)OC)N=O
171380706,"N-Octyl-N-((2S,3R,4R,5R)-2,3,4,5,6-pentahydroxyhexyl)nitrous Amide",CCCCCCCCN(C[C@@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)N=O
195121,FPRF amide,C1C[C@H](N(C1)C(=O)[C@H](CC2=CC=CC=C2)N)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)N
195952,ATP gamma-(N-(2-Hydroxyethyl)-N-methyl)amide,CN(CCO)P(=O)(O)OP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)O
147375381,N-(Pentan-3-yl)nitrous amide,CCC(CC)NN=O
148646353,N-(Cyclopropylmethyl)nitrous amide,C1CC1CNN=O
16131052,"neuropeptide Y (24-36) amide, N-acetyl-(Leu(28,31))-",C[C@H]([C@@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(=O)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CC3=CN=CN3)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)C)O
44144485,"N-(2-Aminoethyl)-3,7-dihydroxycholan-24-amide",C[C@H](CCC(=O)NCCN)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](C[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
3081025,Peptide T amide,C[C@H]([C@@H](C(=O)N)NC(=O)[C@H](CC1=CC=C(C=C1)O)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CO)NC(=O)[C@H](C)N)O
