Compound_CID,Name,SMILES
139196301,Caffeine:2-chloro-5nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])N)Cl.C1=CC(=C(C=C1[N+](=O)[O-])N)Cl
139196305,Caffeine:2-fluoro-5-nitrobenzoicacid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])C(=O)O)F
139196300,Caffeine:4-fluoro-3nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1N)[N+](=O)[O-])F
139196304,Caffeine:2-fluoro-5nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1[N+](=O)[O-])N)F
139146636,Caffeine:4-chloro-3nitrobenzoic acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1C(=O)O)[N+](=O)[O-])Cl
139064236,Caffeine:anthranilic acid mono toluene,CC1=CC=CC=C1.CC1=CC=CC=C1.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)O)N.C1=CC=C(C(=C1)C(=O)O)N
16745297,"(E)-8-(3,4-Dichlorostyryl)caffeine (4b)",CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)/C=C/C3=CC(=C(C=C3)Cl)Cl
44579960,"(E,E)-8-[4-(3-Chlorophenyl)butadien-1-yl]caffeine",CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)/C=C/C=C/C3=CC(=CC=C3)Cl
44579921,(Z)-8-(3-chlorostyryl)caffeine,CN1C2C(N=C1/C=C/C3=CC(=CC=C3)Cl)N(C(=O)N(C2=O)C)C
44579961,"(E,E)-8-[4-(3-Fluorophenyl)butadien-1-yl]caffeine",CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)/C=C/C=C/C3=CC(=CC=C3)F
129821903,N-acetyl-caffeine,CC(=O)N1CN(C2=C1N(C(=O)N(C2=O)C)C)C
129825791,Caffeine maleate,CN1C2=C3N=C1OC(=O)/C=C\C(=O)OCN3C(=O)N(C2=O)C
129737710,Caffeine pentamidine,CN1C=NC2=C1C(=O)N(C(=O)N2C(C(=N)N)C(=N)N)C(C(=N)N)(C(=N)N)C(=N)N
129645690,Caffeine ethanol,CCO.CN1C=NC2=C1C(=O)N(C(=O)N2C)C
129848849,Caffeine-trial,CN1C=NC2=C1C(=O)N(C(=O)N2C)C(C=O)(C=O)C=O
129846080,8-(m-Chlorophenylbutadienyl)caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)C=CC=CC3=CC(=CC=C3)Cl
129866249,Caffeine-nicotinamide,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC3=C(C=NC=C3)C(=O)N
129847520,Caffeine-glutaric acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)CC(CCC(=O)O)C(=O)O
129880576,(e)-2-(1-Hydroxyl-4-oxocyclohexyl) ethyl caffeine,CN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CCC3(CCC(=O)CC3)O
129704871,Caffein citrate,CN1C2=C3N=C1OC(=O)CC4(CC(=O)OC(N3C(=O)N(C2=O)C)OC4=O)O
129660695,Caffeine hydrochloride dihydrate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.O.O.Cl
129781079,Caffeine phosphate,CN1C2=C3N=C1OP4(=O)OC(N3C(=O)N(C2=O)C)O4
139196298,Caffeine:4-iodo-3nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1N)[N+](=O)[O-])I
139196302,Caffeine:4nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=CC=C1N)[N+](=O)[O-]
139199478,Vanillic acid (bis) caffeine co-crystal,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.COC1=C(C=CC(=C1)C(=O)O)O
139064235,Caffeine:anthranilic acid hemibromobenzene,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C=C1)Br.C1=CC=C(C(=C1)C(=O)O)N.C1=CC=C(C(=C1)C(=O)O)N
139064239,Caffeine:anthranilic acid monohydrate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)O)N.C1=CC=C(C(=C1)C(=O)O)N.O.O
139178750,5-Fluorocytosine caffeine cocrystal,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=NC(=O)NC(=C1F)N.C1=NC(=O)NC(=C1F)N
139179854,Caffeine-D-tartaric acid 1/1,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.[C@H]([C@@H](C(=O)O)O)(C(=O)O)O
139038962,Caffeine 1-hydroxy-2-naphthoic acid,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
139064234,Caffeine:anthranilic acid hemichlorobenzene,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C=C1)Cl.C1=CC=C(C(=C1)C(=O)O)N.C1=CC=C(C(=C1)C(=O)O)N
139064238,Caffeine:anthranilic acid sesqui p-xylene,CC1=CC=C(C=C1)C.CC1=CC=C(C=C1)C.CC1=CC=C(C=C1)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC=C(C(=C1)C(=O)O)N.C1=CC=C(C(=C1)C(=O)O)N
139088526,Gallic Acid Tris-Caffeine hexahydrate,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=C(C=C(C(=C1O)O)O)C(=O)O.O.O.O.O.O.O
139196299,Caffeine:4-chloro-3nitroaniline,CN1C=NC2=C1C(=O)N(C(=O)N2C)C.C1=CC(=C(C=C1N)[N+](=O)[O-])Cl
