,Compound_CID,Name,SMILES
71,42631819,"1,3-Dimethyl-8-[3-(2-piperidin-4-ylethoxy)phenyl]xanthine",CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC(=CC=C3)OCCN4CCCCC4
72,67533769,Purine xanthine,C1=C2C(=NC=N1)N=CN2.C1=NC2=C(N1)C(=O)NC(=O)N2
73,42631610,"1,3-Dimethyl-8-[3-(2-morpholin-4-ylethoxy)-phenyl]xanthine",CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC(=CC=C3)OCCN4CCOCC4
74,42631614,"1,3-Dimethyl-8-[3-methoxy-4-(2-piperidin-1-ylethoxy)-phenyl]xanthine",CN1C2=C(C(=O)N(C1=O)C)NC(=N2)C3=CC(=C(C=C3)OCCN4CCCCC4)OC
75,53629009,1-Methyl-3-[(2-trimethylsilanyl-ethoxy)methyl]-7-(2-cyano-benzyl)-xanthine,CN1C(=O)C2=C(N=CN2CC3=CC=CC=C3C#N)N(C1=O)COCC[Si](C)(C)C
76,67523147,"1-[(1-hydroxy-3-oxo-2,3-dihydro-1H-isoindol-1-yl)methyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonyl-amino)-piperidin-1-yl]-xanthine",CC(=CCN1C2=C(N=C1N3CCCC(C3)NC(=O)OC(C)(C)C)N(C(=O)N(C2=O)CC4(C5=CC=CC=C5C(=O)N4)O)C)C
77,163322244,Xanthine oxidase-IN-5,COC1=CC=CC(=C1)CN2C=C(N=N2)COC3=C(C=C(C=C3)F)C=O
78,163322352,Xanthine oxidase-IN-6,CC(=O)OC[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC2[C@H]3[C@H](CC=C3COC(=O)C)C(=CO2)C(=O)NC4=NC=CO4)OC(=O)C)OC(=O)C)OC(=O)C
79,71433932,1-Methyl Xanthine-d3,[2H]C([2H])([2H])N1C(=O)C2=C(NC1=O)N=CN2
80,88042894,8-(p-Sulfophenyl)-xanthine,C1=CC(=CC=C1C2=NC3=C(N2)C(=O)NC(=O)N3)S(=O)(=O)O
81,71521071,"3-Methyl-1,7-bis(3',4'-dihydroxybenzyl)xanthine",CN1C2=C(C(=O)N(C1=O)CC3=CC(=C(C=C3)O)O)N(C=N2)CC4=CC(=C(C=C4)O)O
82,171379525,8-Bromo-3-methyl-d3-7-(2-butynyl)-xanthine,[2H]C([2H])([2H])N1C2=C(C(=O)NC1=O)N(C(=N2)Br)CC#CC
83,169450154,Xanthine oxidase-IN-12,C1=CC(=CC(=C1)Br)C2=CC3=C(C=C(C=C3OC2=O)O)O
